pokemon_stat_canonical_key,pokemon_key,pokemon_id,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
bulbasaur,bulbasaur,1,45,49,49,65,65,45,318,PokéAPI,https://pokeapi.co/api/v2/pokemon/bulbasaur,1,2026-07-21 11:17:17.414942+00,0.0.0-dev
ivysaur,ivysaur,2,60,62,63,80,80,60,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/ivysaur,2,2026-07-21 11:17:17.414942+00,0.0.0-dev
venusaur,venusaur,3,80,82,83,100,100,80,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/venusaur,3,2026-07-21 11:17:17.414942+00,0.0.0-dev
charmander,charmander,4,39,52,43,60,50,65,309,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmander,4,2026-07-21 11:17:17.414942+00,0.0.0-dev
charmeleon,charmeleon,5,58,64,58,80,65,80,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmeleon,5,2026-07-21 11:17:17.414942+00,0.0.0-dev
charizard,charizard,6,78,84,78,109,85,100,534,PokéAPI,https://pokeapi.co/api/v2/pokemon/charizard,6,2026-07-21 11:17:17.414942+00,0.0.0-dev
squirtle,squirtle,7,44,48,65,50,64,43,314,PokéAPI,https://pokeapi.co/api/v2/pokemon/squirtle,7,2026-07-21 11:17:17.414942+00,0.0.0-dev
wartortle,wartortle,8,59,63,80,65,80,58,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/wartortle,8,2026-07-21 11:17:17.414942+00,0.0.0-dev
blastoise,blastoise,9,79,83,100,85,105,78,530,PokéAPI,https://pokeapi.co/api/v2/pokemon/blastoise,9,2026-07-21 11:17:17.414942+00,0.0.0-dev
caterpie,caterpie,10,45,30,35,20,20,45,195,PokéAPI,https://pokeapi.co/api/v2/pokemon/caterpie,10,2026-07-21 11:17:17.414942+00,0.0.0-dev
metapod,metapod,11,50,20,55,25,25,30,205,PokéAPI,https://pokeapi.co/api/v2/pokemon/metapod,11,2026-07-21 11:17:17.414942+00,0.0.0-dev
butterfree,butterfree,12,60,45,50,90,80,70,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/butterfree,12,2026-07-21 11:17:17.414942+00,0.0.0-dev
weedle,weedle,13,40,35,30,20,20,50,195,PokéAPI,https://pokeapi.co/api/v2/pokemon/weedle,13,2026-07-21 11:17:17.414942+00,0.0.0-dev
kakuna,kakuna,14,45,25,50,25,25,35,205,PokéAPI,https://pokeapi.co/api/v2/pokemon/kakuna,14,2026-07-21 11:17:17.414942+00,0.0.0-dev
beedrill,beedrill,15,65,90,40,45,80,75,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/beedrill,15,2026-07-21 11:17:17.414942+00,0.0.0-dev
pidgey,pidgey,16,40,45,40,35,35,56,251,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgey,16,2026-07-21 11:17:17.414942+00,0.0.0-dev
pidgeotto,pidgeotto,17,63,60,55,50,50,71,349,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeotto,17,2026-07-21 11:17:17.414942+00,0.0.0-dev
pidgeot,pidgeot,18,83,80,75,70,70,101,479,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeot,18,2026-07-21 11:17:17.414942+00,0.0.0-dev
rattata,rattata,19,30,56,35,25,35,72,253,PokéAPI,https://pokeapi.co/api/v2/pokemon/rattata,19,2026-07-21 11:17:17.414942+00,0.0.0-dev
raticate,raticate,20,55,81,60,50,70,97,413,PokéAPI,https://pokeapi.co/api/v2/pokemon/raticate,20,2026-07-21 11:17:17.414942+00,0.0.0-dev
spearow,spearow,21,40,60,30,31,31,70,262,PokéAPI,https://pokeapi.co/api/v2/pokemon/spearow,21,2026-07-21 11:17:17.414942+00,0.0.0-dev
fearow,fearow,22,65,90,65,61,61,100,442,PokéAPI,https://pokeapi.co/api/v2/pokemon/fearow,22,2026-07-21 11:17:17.414942+00,0.0.0-dev
ekans,ekans,23,35,60,44,40,54,55,288,PokéAPI,https://pokeapi.co/api/v2/pokemon/ekans,23,2026-07-21 11:17:17.414942+00,0.0.0-dev
arbok,arbok,24,60,95,69,65,79,80,448,PokéAPI,https://pokeapi.co/api/v2/pokemon/arbok,24,2026-07-21 11:17:17.414942+00,0.0.0-dev
pikachu,pikachu,25,35,55,40,50,50,90,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/pikachu,25,2026-07-21 11:17:17.414942+00,0.0.0-dev
raichu,raichu,26,60,90,55,90,80,110,485,PokéAPI,https://pokeapi.co/api/v2/pokemon/raichu,26,2026-07-21 11:17:17.414942+00,0.0.0-dev
sandshrew,sandshrew,27,50,75,85,20,30,40,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandshrew,27,2026-07-21 11:17:17.414942+00,0.0.0-dev
sandslash,sandslash,28,75,100,110,45,55,65,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandslash,28,2026-07-21 11:17:17.414942+00,0.0.0-dev
nidoran-f,nidoran-f,29,55,47,52,40,40,41,275,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-f,29,2026-07-21 11:17:17.414942+00,0.0.0-dev
