pokemon_stat_delta_key,pokemon_key,pokemon_id,hp_delta,attack_delta,defense_delta,sp_attack_delta,sp_defense_delta,speed_delta,stat_total_delta,canonical_dataset_version,champions_dataset_version,source_name,source_url,extracted_at_utc,dataset_version
venusaur-delta,venusaur,3,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
charizard-delta,charizard,6,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
blastoise-delta,blastoise,9,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
beedrill-delta,beedrill,15,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
pidgeot-delta,pidgeot,18,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
arbok-delta,arbok,24,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
pikachu-delta,pikachu,25,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
raichu-delta,raichu,26,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
clefable-delta,clefable,36,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
ninetales-delta,ninetales,38,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
vileplume-delta,vileplume,45,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
arcanine-delta,arcanine,59,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
alakazam-delta,alakazam,65,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
machamp-delta,machamp,68,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
victreebel-delta,victreebel,71,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
slowbro-delta,slowbro,80,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
gengar-delta,gengar,94,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
kangaskhan-delta,kangaskhan,115,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
starmie-delta,starmie,121,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
pinsir-delta,pinsir,127,0,0,0,0,0,0,0,0.0.0-dev,0.0.0-dev,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-07-21 11:19:05.199378+00,0.0.0-dev
